,loss,accuracy,precision,recall
0,0.4872595664302768,0.9156640568166011,0.3155989759585675,0.26669153301007087
1,0.457578064858572,0.9095900398272606,0.3238871635610766,0.3734427452443118
2,0.4458901470377675,0.9088977393912553,0.33266793093123065,0.4143976128310332
3,0.43639227395508373,0.9095260859763594,0.3421397716754088,0.44117866467735917
4,0.42856836826853,0.9098410586920478,0.3478620741548938,0.459828422230511
5,0.4208479058454743,0.911064176090533,0.3576837827853713,0.48153674002237973
6,0.4143682031323691,0.9116637434427317,0.3628268525445687,0.49444237224916077
7,0.4078188542331494,0.9123656369563723,0.3690659872977143,0.5115255501678478
8,0.4025299027988934,0.9132753804854417,0.37506902509841644,0.523585726718886
9,0.3958273386055338,0.9140748036217066,0.38026872488449076,0.534153922665672
10,0.39037720940141357,0.9146711732813602,0.38509783368273937,0.5481288076588338
11,0.38407610429972167,0.9161900772402635,0.39362295596387853,0.5614571677234863
12,0.37772534691321674,0.9169527269122602,0.3983108166698462,0.5711053089643168
13,0.3727168117553825,0.9178624704413295,0.4034507822234529,0.5797090637821708
14,0.3672727922834273,0.9185659628012426,0.40795259361044317,0.5906005221932115
15,0.3471947663239586,0.9240308193607493,0.43615755964458125,0.6200671391271914
16,0.3419858703234289,0.9248110563417438,0.44075079149706015,0.6300385428322766
17,0.3395218038885761,0.9252139656024213,0.4432447397563677,0.6369762526420489
18,0.33695595688910607,0.925596089861556,0.44503765020955427,0.636354594056944
19,0.33627939046819355,0.9259094637309717,0.4468343662656459,0.6400348128807659
