,loss,accuracy,precision,recall
0,0.491808167498699,0.9150437044628597,0.30455301769777643,0.25032947905010566
1,0.4602241874375242,0.9100473098612042,0.324978184991274,0.37043391769240336
2,0.44783448143793597,0.909228700569669,0.3320757778589104,0.4071117742136019
3,0.4387384479142933,0.9093885851969219,0.3391768292682927,0.43155538977993285
4,0.42997658291127405,0.9104550156606992,0.34992682138716236,0.4577893820713664
5,0.42280061542987823,0.9112016768699707,0.35725463894477977,0.47683700111898547
6,0.4156261808719065,0.9120026988525081,0.36310238460259703,0.488822578639811
7,0.40863613895889,0.91264863274661,0.36944278444794554,0.5072982717891334
8,0.4019952295698628,0.912835697760496,0.37391564990478876,0.5273405445729206
9,0.39609216852342244,0.9141835251682386,0.38094227128779434,0.5354221061792863
10,0.38978000266291507,0.9155121664207108,0.3886459031427463,0.5479796095984085
11,0.38393690273677855,0.9162108622418064,0.3932056695341381,0.5580753450205147
12,0.3774947972812746,0.9165530153441277,0.39682649070516685,0.5727464876289942
13,0.37141554917890196,0.9179152323683231,0.40412292948618506,0.5830162874549297
14,0.36538410635509583,0.9188489585914804,0.40948668189390164,0.5929130921298024
15,0.3443527938081668,0.9236598870255224,0.4349523283128368,0.6261842596046251
16,0.33723896811983006,0.9256056829391911,0.44501715221063265,0.6354842720377969
17,0.3352195350072193,0.9258183294934376,0.44632748741100886,0.6391644908616188
18,0.332673163252308,0.9264642633875395,0.4498715991116047,0.6447096854407559
19,0.33071873014497094,0.9265266183921682,0.4503142693886032,0.6466989929130921
20,0.3295706400187433,0.9268895564960324,0.4523282363523144,0.6502548800198931
21,0.3274425970795892,0.9273404311448858,0.4547311567357961,0.653189108541589
22,0.3260789061858396,0.9271933372878132,0.45418388429752066,0.6559492726594555
23,0.324683480422011,0.9273420299911583,0.45502245006795233,0.6577147830411538
24,0.32324457146629765,0.9274347630749651,0.4557239489682336,0.6617431306726346
25,0.321367194424894,0.927832875796825,0.4579273087838069,0.6660698744249658
26,0.3199962539912343,0.9280918888929748,0.4592395958212023,0.6667909983836877
27,0.3183695888070545,0.92810148197061,0.4594797313422659,0.6702474201168718
28,0.317816365778495,0.9281766277454189,0.4598371985870066,0.6700484893696382
29,0.31497125537934945,0.9290048301145893,0.46414939321842424,0.6743006340917568
30,0.3121533721758574,0.9298282359449421,0.46847326148143065,0.6787765759045132
31,0.31215885765057927,0.9297610844014959,0.46813036020583193,0.6786522441874923
32,0.31181975194967904,0.9296667524714166,0.46767370566373806,0.6790252393385553
33,0.31204799071881073,0.9299177713362038,0.4689910521443999,0.680343155538978
34,0.31118980612843594,0.929924166721294,0.4689955732473148,0.6796966306104687
